ID,SCENARIO,DIALOG,YES,NO,EXIT,CREW MORALE,SHIP STRENGTH,INTEL
11,FURBALL CREATURES 1,"Captain, we are arriving at the coordinates of the life pod. <Ensign %$#@> calls out: Captain this is one of our Galatic Alliance Fenderation life, <Science Officer> Says: Captain, our gamma ray scanners show multiple faint life forms but they are not human. Shall we use our tractor beam  to pull the life pod on board?",12,10,,,,
12,FURBALL CREATURES 1,"The receiving party secures the life pods in the receiving bay and <security officers> screams out Captain, FURBALL! We have a FURBALL! <FURBALL Sound Effect> Say Yes to bringing the FURBALL to the bridge or No for sickbay? ",13,14,,,,
13,FURBALL CREATURES 1,"When the cute little FURBALL arrived at the bridge deck, the bridge crew immediately gathered around to check the cute the little alien. During the commotion of who got to hold the furball, water was spilled on the FURBALL and <sound effect> it multiple a second FURBALL. What the?? says the captain what just happened. Before the Captain could stop the crew, <mutiple sound effect> There were more FURBALLS on the Bridge than crew members!! STOP!!! You give instruction to crew get them away from the water and round up the FUBALLS.  Say yes for to allow crew to use ""Phaser"" on stun or No for deploying a force field emitter to round up FURBALLS. ",15,16,,5,,
14,FURBALL CREATURES 1,"When the security team brought the FURBALL to quaratine, they kept the FURBALL in a glass enclosure. The Science team arrived to the study the FURBALL and during the study period the Science Team discovered that these little creatures can multiple and very rapidly. You recognize dpesite their cuteness that these creatures pose a risk to the ship and its crew. You decide to send the creatures back in the life pod that they came in, you launch the pod back into deep space <sound effect> and it is someone's else's problem now!",,,1,5,5,
15,FURBALL CREATURES 1,"Crew sets the phaser on stun and starts shooting the creatures, soon they realize the stun setting has no effects on the FURBALLS. This act has  now made them aggressive and they started to attack the crew members. Phaser are not set on kill, FURBALLS put a fight, but the Crew eventually eliminate the FURBALLS but not injuries sustained by the crew and damages to the bridge that will require repair time at the nearest space station ",,,1,-10,-10,
16,FURBALL CREATURES 1,"The crew deploys the force field emitters and contain the FURBALLS in one big giant furry clump. The screams and whaling crys <sound Effect> of the FURBALLS was unbearable. You give <ensign So and So> the direction to do a hyperjump to the nearest uninhabitable planet. Once the ship arrived, you ask the <teleportation office> to lock in on the FURBALLS and teleport them on to the surface of the planet  <sound effect>. Once confirm there was none on  the ship you count your blessings you stop those FURBALLS before they got out of control. ",,,1,5,5,
,,,,,,,,
17,MINDCONTROL - 1,"The crew received a message from GAF, it says to send a landing party to <planet in star system>. GAF headquarters received intelligence that the rule of the planet has information regarding ALdrick Von Monako's secret weapon. DO you accept this message and head over to retrieve this intel. ",19,18,,,,
18,MINDCONTROL - 1,You make the decision to set a course towards the GAF space station instea. You leave the intelligence gathering to another <GAF starship>. GAF headquarters broadcasted that the intelligence gathered from the ruler of <planet> was a success and GAF obtained key information regarding Monako's secret weapon. Fleet admiral granted the crew of <GAF Starship so and so> a well deserve vacation for obtaining the intelligence. ,,,1,-10,,-10
19,MINDCONTROL - 1,"You and your team teleported down to the surface of the planet but before doing so, you ask the teleportation office to have a lock on their coordinates in case some funny business happens. The ruler and a group of citizens were waiting for your arrival . The citizens all synchronously said ""welcome to our planet and may be peace fill you with happiness"". The ruler introduces himself as <Leader Hansen> and says ""may peace fill you with happiness"", please follow me into our sanctum. You have a funny feeling about this! Say yes and follow the leader to the sanctum or say no  to stay put and state please pass on the intelligence and we will be on our way. ",21,20,,,,
20,MINDCONTROL - 1,"You politely decline the invitation to join the <ruler Hansen> and her cronies in their sanctum. <rule Hansen> becomes irate and felt disrpected, next thing you now there is multiple rifles pointed at you and the crew. The ruler tells you ""that Captain I wasn't giving you a choice"". Crap! you realize you are in a pickle of a situation.  Say yes to reluctantly going to the sanctum or say no and hit your emergency teleportation beacon (belt bucket).",21,22,,,,
21,MINDCONTROL - 1,"You were led to seats in the middle of the SANCTUM and as you sitdown, the automatic locks strap in you . Captain, welcom to the SANCTUM, where you let go of you worries, fears and find ""true Peace"". WTF! what is going on? As one of the cronies was about to put a golden headband over <officer's name> you swing your head back, your head makes contact with cronie quarding you, the guard drops the control that operates the locks. You catch it before it hits the ground, you unlock the yourself and crew. Say yes to pulling your phaser out or say No and hit your emergency teleportation beacon. ",23,22,,,,
22,MINDCONTROL - 1,"The emergency teleportation beacon location in your bucket automatic sends a signal back to the ship to teleport you back to the ship when you are in a bind. You and the crew teleport back safely, a close call you say, what they heck did GAF headquarters get their information from? Was there information about Von Monako's weapon, you will never know. You leave the planet and report back to headquarters the situation that transired. You set a course to your nearest space station. ",,,1,,,-10
23,MINDCONTROL - 1,"Phasers start going off <special effects> and one cronie after start where stunned and falling to the ground. You realize these guys aren't soloiders they can even hit a target if it was 5 feet in front of them. You spot the  <ruler Hansen> hiding behind her throne, yelling don't  shoot, don't shoot. Just for the hell of it you stun her anyways for the trouble she caused you. Mean while the crew was going around removing the golden head bands from the cronies. The cronies snap out of it and slowly coming back to their senses, ""what happened they were all saying to each other"" . It looks like the golden head band was some sort of mind control device used by AVM to control the minds of the citizens on this planet. One of the citizens tells you that AVM used these devices to get us to mine resources so so> to power their secret weapon. You hand over ruler Hansen to the citizens and they were happy to get a hand on her, they put one of the golden bands on her head.  You have just cut off one of AVM's suppliy resources and now you know what he requires to power his secret weapon. ",,,1,,,20
,,,,,,,,
24,DRIVE DAMAGE-1,"<Senior reliability officer Jones>  have been reporting over the last several weeks weird failures were happening all over the ship. Power outages, toilets backing up, gravity system failing and worst gravity failing while the toliet was plugged. No one could figure out what was causing this. You give the the direction to complete a hyperspace jump to the next galaxy and Kaboom <sound effect> the drive failed. How did this happen you wonder? Upon investigation you find out <hyperdrive engineer Ferrari> has been neglecting his duties becasue he was too drunk to be doing his job. So are so mad! SAY yes to  shooting <Ferrari> into space since you never liked each other or Say no to lock him in detention. ",25,26,,,,
25,DRIVE DAMAGE-1,"You personally lead the drunk engineer to the launch bay. You stuff is body into the launch pad, meanwhile he is mumbling something incoherent to you. You say ""hasta la vista"" Ferrari and press the launch button. His body <special effects> shoots out into space and immediately freezez and goes limp. You are happy this pain in the arse is no longer on your ship. Crew found out and is terrified at the type of Captain you are.   ",,,1,-10,,
26,DRIVE DAMAGE-1,"You did the right thing and thought the urge to just launch out into space. You get the security team to look him into detention and get him to sober up. You contact the GAF HR department to get him check into the GAF addictions program. Unfortunately it only has a 30 success rate because GAF HR department never gets anything right. But hey 30 % is better thatn 0%. You drop off Engineer Ferrari and wish him the best of luck, and deep down you are estactic that you removed a thorn in your behind. ",,,EXIT,5,,
,,,,,,,,
27,ALIEN WARSHIP ,"You ship encountered an <alien  ship> hovering near an astroid belt and you hail to make contact to see if they require any assistance. No response, but <security officer ballard> indicates from the scan that the ship have powered their weapons and shields. Say yes to arm your weapons and shield or say NO to trying to contact the ship agian and say we come in peace. ",29,28,,,,
28,ALIEN WARSHIP ,"You frantically get your <communications officer> to try every possible alien language possible to make contact with the ship and nothing was working. Our last ditch effort was to send over a bunch of emojis hoping that they recognize images, what do we send them communications officer yells out. I don't know how about the peace symbol and a happy face. Message sent...waiting....waitin...waitin.... Captain what do we do, do we get our shields up? <Ping Sound Effect> you  received a peace emoji with what looks like an alien thumbs or fingers up emoji. Sighed of relief on the ship. Alien ship lowers their weapons and shields. You exchange a few more emoji messages and what you gathered was that the alien ship was on school field trip.   ",,,1,10,5,
29,ALIEN WARSHIP ,"You took the lack of communicaiton from the alien ship as a hostile sign. You give the order to arm the ship and weapoons and fire the <photon torpedoes> when ready. Torpedos are fired <sound effect>, alien ship fires their <anti-guns> <sound effects>, but some torpedos get through and make contact with the alien ship. The alien fires back with <long range energy beam>, brace for impact blares over the communicaiton of the ship. energy hits, the ship sustains damage. Report you scream out. Damage in <forward bay and cabins level 10 thru 15>, shields holding at 75%. Fire everythng we go <special effects> and divert power to make a hyperspace jump to the other side of the astroid belt as soon as we fire. <Kaboom special effects> safely on the other side of the asteroid, Captain it looks the alien ship sustain heavy damage from our onslaught, the shields are completely down. Say yes to sending a boarding party or Say No and destroying the ship?",31,30,,,,
30,ALIEN WARSHIP ,One final <photon blast> and the the alien ship blows into a million pieces. <kaboom sound effect>,,,1,10,-15,
31,ALIEN WARSHIP ,"You and the security team suit up and beam onto the heavily damage alien ship. As the team is carefully guiding themselves through to the bridgeof the ship. You notice something weird, there is not a single alien on the ship. You get to the bridge and this was a drone ship and you see the AVM symbol  on the brigde deck. You asked the security officer to see if anything intel can be retreived from the ships computers. Looks like there was is intel on locaiton of other sites the galaxy that AVM empire was interested in. You and the crew beam off he ship and you give the order to blow the ship to pieces. ",,,1,10,-15,10
,,,,,,,,
,,,,,,,,
32,WEDDING BELLS,"Ship approaches a planet in an unchartered system and you are part of the crew to explore the planet and study the civilization. Spotting a group of <aliens that look like humans with blue skin>, fear of being spot and not interfering with a new civilization the crew enables their cloaking device to ensure not be spotted. As the crew move around collecting samples from local planets, air, you notice from a distance one of the females from the alien group is hurt. You rush over to help and disengage your cloaking, all the aliens run off and the one that is hurt seems to have fainted. Say yes if you want to transport back to the ship and say no I need to stay and help with her inuries. ",33,34,,,,
33,WEDDING BELLS,The crew spotted your mistake and say Captain we have to get out of here before the aliens come back with a welcoming party and sacrifice us to their gods. Captain we cannot  make contact unless the contact with an alien civilization unless its on the GAF approved list. The crew hear <sound effect> the screaming and war crews of what sounds like an angry alien pitchfork mob. They transport back to the ship just as a spear lands in the sport the crew were standing. ,,,1,,,
34,WEDDING BELLS,"Captain we have to get out of here, we broke a GAF value, actually you broke the GAF value. NO guys we don't abandon people that are hurt regardless of alien race, but Captain it only looks like a sprain ankle. Sprain ankles are serious guys, I know, they called me SAK back at the academy, SPRAIN ANKLE KING. The captain picks her up in the most ackward way possible, belly to belly. The welcoming party arrives holding  weapons and screaming and ready to attack <sound effec>. The chief alien comes out from the crowd, he says to how dare you carry my daughter in our trandition mating positing. You must marry my daughter. Say Yes to marrying the chief's daughter or Say No dropping the daughter and transporting back to the ship. ",35,36,,,,
35,WEDDING BELLS,"Captain I know you are fond of the opposite sex, but don't you think this is kinda of crazy?? Says <chied science officer>. Don't be silly guys, let's pay along, there is no way the chief wants me to marry his daughter. As you arrive what looks like a chapel, it looks like you just saw a ghost! Say Yes to continue with the wedding plans and No for transporting back to the ship.",37,36,,,,
36,WEDDING BELLS,"You use your emergency teleportation beacon on your belt again! and <sound effect> the crew beams back on to the ship. Your to be bride falls to the ground, the rest of the civilization get to theirs knees to worship what just happened. They believe that they just witnessed divine intervention! Meanawhile back on the ship the crew was so dissapointed that you didn't proceed with marrrying an alien. JERKS! Years later you visit this planet again and you are indeed a god, they have erected at 500 ft statue of you!",,,1,-5,,
37,WEDDING BELLS,"You continue along with the wedding just to see how far you can take this. <security officer> earlier made a bet with you that you would chicken out of the wedding vows. You are never one to back down from a bet and you said you're on. <sound effects - wedding bells> congatulations presumably what the aliens said, a big reception took place and everyone was happy and full. <security officer> you win Captain and pays up. You scream out, in your face! While everyone is fast asleep from the partying you, you tell the crew it is time to make like a tree and leave. Lame joke Captain! You go to new bride and say you have to leave, eventhough she doesn't understand you, but she can see it your eyes. You kiss her and tell her you will be back when your mission is done. You and the crew beam back to the ship. Years later you return to the planet and your spouse was there waiting for you and you are surprised to meet you son.",,,1,5,,
,,,,,,,,
38,OFFICE POTLUCK,"POTLUCKS, you hate them! The annual ship potluck is about to take place and dread this every time. You never know what synthetic food you should ask the ship to make. One year got the runs for 3 days because the theme was your favorite alien dish! Why did the organizing think that was a good idea, I didn't know you couldn't mix <dish from alien race #1> with <dish from alien race #2>. As the Captain of the ship, it is customary for you kick and host the potluck. Say yes to attending the Potluk and no to faking a fever and checking into sick bay",39,40,,,,
39,OFFICE POTLUCK,"You attend this years POTLUCK, going in with the lowest expectation ever and your were blown away! The theme was your favorite meal at the academy and the difference was you broke GAF rules by allowing everyone to bring their favorite adult beverage! Everyone had the best time ever and some just drank and didn't even eat!",,,1,10,,
40,OFFICE POTLUCK,"You hid out in the sick bay pretending to be sick and you noticed that most of the bridge crew as there. I thought you guys like POTLUCKS you said, everyone looked at each other and said HELL NO! The doctor broke out a several bottles of super strong adult beverages and their laughs late int the night. Next day you heard went extremely well with out you and the crew attending,  Year after year you sneak off to the sick bay with the crew and the rest of the ship has their potluck. Win Win Situation.",,,1,10,,
,,,,,,,,
41,BLACKHOLE ,Your ship is chasing down a AVM ship when both ships were pulled into what appears to be a super massive black hole. Both ships could not escape the gravitional pull. Say yes to diverting all the ship powers to the thrusters or No hail the enemy ship to work together to find a way out. ,42,43,,,,
42,BLACKHOLE ,Captain it is not working. We have divert all the ships power to the rear thrusters. The Blackhole's grasp is too much. Caotain what do you want us to do? You said you watched this movie from Earth from several hundreds years ago and we need to create a blast large enough to propell our ship out when we fire our thruster at the exact moment the blast reaches the ship. Sir if my calculations are correct we will need 10 terra electron volts to get the ship freed being pulled into the event horizon. Yes to firing your <photo torpedoes> at the <AVM> ship that was now being crushed under event horizon's gravity or No hail the enemy ship to work together and save them. ,44,43,,,,
43,BLACKHOLE ,"You hail the ship and they respond, it looks their ship is in dire condition. It was being curshed as it was beng sucked deeper into the blackhole. You make a deal with the enemy ship, we beam everyone on board, you give us intel on Von Monako, we drop you off at the next GAF Station for your incareration . As the enemy ship Captain, say yes to agree with the proposed conditions or no we rather die than be caught by GAF. ",45,44,,,,
44,BLACKHOLE ,"Fire <special effects> the <photon torpedoes> towards to the enemy ship. <Kaboom> the enemy ship is destroyed and  the energy from the blast is coming back towards our ship. You fire the thrusters at the precise, the energy shots the ship out of the grasps of the super massive black. That was close one, you say a little enemy sacarfice never hurt anyone!!",,,1,10,-5,
45,BLACKHOLE ,"You beam the crew onto the ship, only after they send over intel of AVM secret weapon. The AVM crew is lock up in detention. Fire <special effects> the <photon torpedoes> towards to the enemy ship. <Kaboom> the enemy ship is destroyed and  the energy from the blast is coming back towards our ship. You fire the thrusters at the precise, the energy shots the ship out of the grasps of the super massive black. ",,,1,15,-5,10
,,,,,,,,
46,KNOCKOFF CRYSTALS,"Captain we ar low on <hyperspace drive crystals>, you say how did this happen? well Captain, those late night munchie runs from different planets you made didn't help. Our scans shows a shaddy supply outpost that may have the crystals we need. See yes for heading the supply shop or no we limp along until we reach the next GAF station. ",47,48,,,,
47,KNOCKOFF CRYSTALS,"You arrive at the supply outpost, just then you realize that the supply outpost is own and ran by a shrewd race of aliens known as the <ferengis>. Their race is purely driven by trade of business, they are shrewd negotiators and never enter into a bad business deal. You as the <ferengi> in charge that you need to buy 2 chambers <made of measurement> of hyperspace drive crystals . Captain, this is going to cost you nothing but intel on what resources VOn Monako acqyuiring for his secret weapon. Say yes to agreeing to give the <alien> intel or Say No I don't have that intel.",49,50,,,,
48,KNOCKOFF CRYSTALS,"You bypass that supply outpost, you later found out that it was an outpost owned by the infamous shrewd alien <akjdsjsfaafalk> who was known trade goods for intel. You would have been lucky to walk away from that deal with yout GAF uniform.",,,1,,,
49,KNOCKOFF CRYSTALS,So you start down this eloborate story of how you battled all the these enemy ships and how you narrowly escape with your life. Anything to buy some time on what do I acutally trade for theses crystals? You were about to trade real intel to a shady dealer for hyperdrive crystals. You got it! Say yes to telling him to trading him a FURBALL creature from previous run it or say no to making up a fake intel and hope the trader doesn't catch on. ,51,52,,,,
50,KNOCKOFF CRYSTALS,You tell him nothing and lie that you don't have this intel. You thank you for consideriing the trade and teleport back to the ship. You set a course and limp along to the next GAF space station. Crossing your fingers that you don't run into an AVM ships.  ,,,1,,,10
51,,"You communicate back to the ship to secure and teleport the FURBALL creature that you captured from a previous adventure. You show this curious looking creature to the trader, he does not believe how a little FURBALL can be part of AVM's plans. Show me what these creature can do and if I am satisfied I will conclude the trade. You carefully within the secure container add couple drops of water <poof> there are now two FURBALLS! You also add that these FURBALLS are one of a kind in these parts of the universe. Wow! we have ourselves a deal the trader says and extends his hand out for a shake. You teleport back to the ship with two chambers of crystals. You give the order to get the heck out of here before the trader finds out the destructure powers of those FURBALLS if he lets them out of their container. What you also don't know is that he traded you knock off hyperspace crystals that look the part but doesn't do anything for your drives. You find this out later the hard way!",,,1,-5,-10,10
52,,"You make up a  resource tha you found on a planet that you thought the trader would not have ever visited. Well, you are a bad liar and he is a well travelled trader, he tells you the only thing this resource is go for is deodorizing the dung of giant <alien creature>. How dare you try to lie me, all of a suddent phasers are pointed at you.. Get out of this trading post and never return. You are lucky that you are part of the GAF, I would have killed you on the spot and taken your ship for lying to me. You teleport back to the ship empty handed but no different than when you started but at least you knew what the trader was after. You wonder why he wanted this specific intel.   ",,,1,,,10
,,,,,,,,
53,Alien Abduction ,The passengers on the ship start disappearing and there is mass panic on the ship. Do you outfit everyone on the ship with a tracking device?,55,54,,,,
54,Alien Abduction ,"That was a bad choice, half of the ships people disappear before you realize that an enemy ship with advance cloaking technology was teleporting people off the ship for science. This was advance alien abduction. ",,,1,-25,,
55,Alien Abduction ,You install long range tracking device on every single person on board. The tracker is working and notice people teleported to a blank space on the radar. Security Officer indicated that seems to be a ship under cloak that our radars are not picking up. Say yes to firing at the spot on the radar to uncloak the ship or say no to beam a party to rescue the abducted people. ,56,57,,,,
56,Alien Abduction ,"You fire a long range laser to the area on the radar. The laser hits the seemingly blank space and the cloaking device is damaged revealing am alien ship. You set the tractor beam on the ship to ensure it doesn't escape. You hail the alien ship and the message was loud and clear. Release our people or we will board and use force to take our people back. The alien ship hails back and indicates tha we are come in peace. We are traveling scientist studying long terms of space travel for different species. The ship teleports people back to our ship, conflict avoid and you give the order to disengage the tractor beam. ",,,1,5,,
57,Alien Abduction ,You and team of best officers beam onboard to the coordinates of the tracking device. What you find that is the people that disappeared are now connected some sort of device and unconscious. You noticed that there are rolls of empty pods that look like they need to occupied. You and several security officer head towards the tracking device. Other science officers were discounting our people from the pods and beaming them off the alien ship. You get the bridge and you see aliens working of newly abducted people from the ship. Say yes to announcing your presence or set the phasers on stun and start shooting. ,58,59,,,,
58,Alien Abduction ,"You have a flare for the dramatic, you say in the name of GAF, freeze and we have you surrounded. The aliens got startled and <puff sound effect> just disappeared. Over your communication you received that a mini life pod shot out of the alien ship and went into hyperspace jump. The aliens have dissappeared from the radar. You concentrate on resecuing the people on board and transferring them off the alien ship. You tried to decode the alien ships computers but could not do it. You drag the ship to the next space station for more thorough investigation by GAF.  ",,,1,5,,-10
59,Alien Abduction ,"You sneak out and blast the aliens, they all fall to the ground completely stunned. You and the security team secure these shrimp looking aliens. You rescue the people on board and take the shrimp like aliens back to the <GAF ship name> for integergation. Through the countless hours you determine these shrimp like aliens are part of the AVM's advance science team, they were expermenting on how neuron linked in series could produce enourmous amounts of power. Enough to power say a secret weapon. ",,,1,5,,10
,,,,,,,,
60,Zombie Infection,"The <GAF Ship> docked into <space station> for maintenance  and  when the crew disembarked, you see a completely dessert space space station. Are we in an episode of the twlight zone? Hello you scream... the emptiness echoes back...hello....hello....hello. Something suspisous is going on here....who are going to call...GAF Busters! The lifeform tracker is showing activities deep within the depths of the space station. Say yes to investigate and no for getting the heck outta here because it is a trap! ",62,61,,,,
61,Zombie Infection,You have a courage of a cowardly lion and got off the station as quick as you can. You assume it was  a trap and you know assume makes a ass of you and me! Well you later found out that AVMs crew hijacked the station stole some intel and lock the station crew in the holding cell. ,,,1,-10,,-10
62,Zombie Infection,You and the crew relunctantly make your way towards to the signal. You get there and here voices of the what seems to be the crew. But there is moaning and groaning coming from behind the door. Say yes to opening the  door or no to not opening the door and leaving for the ship,64,63,,,,
63,Zombie Infection,"The moaning and screaming was enough to scare you away from opening the door. You and the crew teleported from the station and reported the strange occurence at the space station. You later found out that the space crew were infected and GAF had to deal with infection situation, no one knew what occured that day becasue the situatio was classified as a level 5 clearance.",,,1,5,,-5
64,Zombie Infection,Yes and you instantly regretted opening the door. All the space station crew all had a crazed infected look on their faces looked towards you and the crew. They suddenly with hungered look for flesh ran towards you and the crew. A couple of the crew members were attacked and the infected were biting and eating the security team. Say yes to arm phasers to kill or no to start running in the opposite direction.,66,65,,,,
65,Zombie Infection,"There are too many of them, phasers would have been pointless and your security officer would have been overwhelmed by these flesh eating monsters. You and your security officer run like the wind while giving the direction to get everyone back on the ship. You tell your transportaion office to lock in on your and <security officerrs> position, teleport us back onto the ship once you have a lock on us. You make a turn and it is a dead end, the infected caught up and nearing.....<special sound effect> you are teleported back on to the ship. You report the situation to GAF, GAF believes it was a virus infection courtsey of AVM. GAF gives the order to blow up the space station. You send a several photo torpedos and vaporize the station. ",,,1,-15,,10
66,Zombie Infection,"You do you get impersonation of Billy the Kid and blast away. You vaporize several of the infected, but you and your security officers are overwhelmed and you two are biten. You run and to get away, you get teleported back on to the ship. You try treating both of you in the sick bay, within 24 hours you turn into a flesh eating captain. The infection spreads to everyone on the ship, before the <communication officer> was infected he sent out a GAF SOS. More GAF ships will be responding to the ditress call. ",,,1,-100,-50,10
,,,,,,,,
67,,You receive a note from the GAF headquarters summoning you to the hearing for breaking the GAF celibacy act that forbids you from having intimate relations with alien race you encounter.  Say yes to attending the hearing or no ignoring the message,69,68,,,,
68,,"You think this was a way for the GAF headquarters to get you back in to answer other BS policy that you may have broken. Everyone knows that you are a bit of a loose cannon captain but one of the best GAF have seen a long time. This summons was probably a way for the GAF get you to check in and keep you on the straight narrow.  You have want nothing to do with their plans, a month later you were hailed again by GAF. This time the video they sent includes a female alien and a newborn. Oh crap, you remember her now!",,,1,-50,,
69,,"So you decide to go and entertain leaders of GAF. When you arrive you are greet to the site of female alien and her baby. She is happy to see you comes over and greets you, introduces you as the father of the baby. Oh back up the truck up. You can't remember if you have met her before, you have met a lot of aliens in your past transgressions. At the hearing you unincovically deny the claims, see yes to asking for a paternity test or no for getting back on the ship and getting out of here because you believe someone is framing you. ",71,70,,,,
70,,You seek back onto the ship and set a course for a distant star system. GAF officially announces that you are now a fugitve and required to be brought for prosecution. You crew is not aware of the GAF is hunting you. ,,,1,-25,,
71,,"The paternity test comes back positive and congratulations you are now a father. But when you looked over the results, you noticed something fishy. So instead of setting off any alarm bells, you ask the ships doctor to complete the test by collecting a blood sample from the baby. You matched it the GAF database, you noticed that it matches your DNA.  How can that be, you asked the doctor collect a blood sample from you and it doesn't match the one on the database. The database has been changed. Your real DNA is now show up under <admiral Plecashs>! This makes sense, since Plecash always had a hate on for you. You report this <fleet admiral jarvis>, your name is cleared and you send your congratulations to <admiral plecash>. ",,,1,10,,
,,,,,,,,
72,,"You respond to a GAF ship distress call. When you arrive, everyone is shocked to see that the distress call is coming from a severly damaged USS Radford. The scanners are showing life on the ship.  Say yes to transport a boarding crew to the ship or no hail the ship ",74,73,,,,
73,,"You attempt to hail the ship but not response from anyone on board, it may be that the communications on board are damaged or this may be a trap. Say yes to transporting a boarding crew to check out the ship or say no and communicate with GAF for further instructions. ",74,75,,,,
o,,"You and the boarding crew transport directly to the bridge of the ship. It looks exactly the same the same as the USS Radford. The life form tracker is showing life forms in the deck level 10, you and the team make there way to deck level 10. What you see is roll after roll of hibernation chambers, you notice one chamber with your name on it, can it be you inside the chamber. You look in and you can't beleive your eyes, it is you!. Say yes to opening the hibernation chamber or no to communicate with GAF on what you found. ",76,77,,,,
75,,"You contact GAF headquarters and they said that their intel tells them this a AVM trap. They give you the orders to fire and destroy the damaged USS Radford.  You fire at the ship <sound effect>, you blow the ship to pieces. Then something started happening, one by one, everyone on the ship started evaporating into dust! You send an SOS back to the GAF, you are the last to evaporate, you cannot figure out what just happen but you knew it was related to blowing up the ship that ship that looked like yours. ",,,1,-150,,
76,,"You open up the chamber and you are fast asleep, but you notice you a recording in your fast asleep self. Say yes to waking yourself up or playing the recording.",78,79,,,,
77,,GAF headquarter is very curious on what you found and they ask you not open the chambers. They give the instructions to not take  open any chambers and bring the ship back to the nearest space station. The GAF headquarters put the highest classification. Rumours later surface that the people in the hibernation chambers were the USS Radford crew from future time period. ,,,1,,,-20
78,,"You are about to find out if two objects cannot occupy the same space at the same time. . You wake yourself up and he tells you he is from the future. Nothing happend. Your future self tells you that his DNA was altered when our ship when through through a tear in a space time continuum. The entire GAF was at war with Von Moniko's empire. They had completed their secret weapon and it was our last stance. You have to make your way to stop  <star system> to stop him and his empire. We will pull your, um out damage ship to the next space station. We will report to the headquarters and you will need to debrief the fleet admiral of your intel. You need to determine how we send you back to the time period you came from.",,,1,,,20
79,,"You play the recording and its you on the recording. If you are playing this recording , it means we have successfully made the time jump. GAF was making it last stance against Von Moniko empires, AVM's secret weapon is was completed. You have to make it <star system> to stop them before they complete the weapon. There is one thing you must not do, do not wake us, becasue we have been infected. The secret weapon was a biologicalwepon and turns everyone infected into zombies. We are in a hibernative state to put the infection to sleep, if we are awaken the diesel will spread across the galaxy. ",,,1,,,35
,,,,,,,,
80,,"USS radford picks up a distress message from <Planet xfy>, <message radio sound effect> ""anyone outthere, the infection on our planet has spread and is now out of control."" help us help us <screams of zombie backgorund>in the background. You have arrived at the planet and traced the signal to a specificaiton location. Say yes to sending a team to investigation the distress call or no for not risking anyone of the crew. ",82,81,,,,
81,,"That was probably a good call, since there is no way you could verify if the aliens on the distress call are still alived. If this is the same infection that has other planets, this would be a high risk search and rescue mission. You were not about to risk the crews lives. ",,,1,5,,
82,,,,,,,,
,,,,,,,,
,,Land Party meets a primitive race of aliens,,,,,,
,,Alien race believes Captain is god and revered,,,,,,
,,Ensign misses home and sabotages flight plans and set course for earth,,,,,,
,,Crew lands on a planet only to discover the Amazon warriors and everyone has pelicularily large hands. Captain is held capitive,,,,,,
